Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
Porsche,Panamera,Turbo Sport Turismo,"2,17,47,000",3996 cc,8,4,AWD (All Wheel Drive),V,BS IV,Front Longitudinal,Injection,90 litres,Petrol,1432 mm,5049 mm,1937 mm,Sedan,4,7.1 km/litre,7.8 km/litre,10.63 km/litre,,,7,215 mm,Ventilated Disc,Ventilated Disc,Aluminium Double Wishbone,Aluminium multi-link with chassis subframe,,,255/45ZR19,285/40ZR19,Hydraulic Power,All Windows,Yes,Smart Key,550PS@6000RPM,770Nm@1960 - 4500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2950 mm,ZR19,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,4 years / 80000 Kms (years/distance whichever comes first),Yes,Internal,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,12/24 months /up to 200000 Kms (whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.5 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control 4 Zone climate control,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2635 kg,Front passenger knee airbag Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Driver knee airbag,Yes,Yes,Yes,Yes,6,10.1:1,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Lexus,Lx 450D,V8,"2,32,90,000",4461 cc,,8,FWD (Front Wheel Drive),V,BS IV,Front Transverse,Injection,93 litres,Diesel,1865 mm,5080 mm,1980 mm,SUV,4,18 km/litre,,18 km/litre,,2660 kg,6,,Ventilated Disc,Ventilated Disc,4 Wheel Active Height Control & Adaptive Variable Suspension,4 Wheel Active Height Control & Adaptive Variable Suspension,1650 mm,1645 mm,285/60R18,285/60R18,Yes,All Windows,Power seats,Smart Key,261PS@6000rpm,650Nm@1600-2600rpm,Digital,Analog,Analog,Yes,7,Leather,Automatic,2850 mm,,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual Internal,,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,Internal,Yes,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3350 kg,Drive side airbag Front passenger curtain airbag Driver curtain airbag Rear passenger curtain airbags Curtain airbags Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Driver knee airbag,Yes,Yes,Yes,Yes,10,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
,Mercedes-Benz S-Class Cabriolet,S500,"2,34,91,293",4663 cc,8,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,80 litres,Petrol,1417 mm,5027 mm,1899 mm,Convertible,2,5.4 km/litre,7.81 km/litre,7.8 km/litre,,2115 kg,,,Ventilated Disc,Ventilated Disc,AGILITY CONTROL suspension with selective damping system,AGILITY CONTROL suspension with selective damping system,1625 mm,1649 mm,235/35 R19,235/35 R19,Electric Power,All Windows,Yes,Smart Key,455PS@5500RPM,700Nm@1800-3500RPM,Digital,Analog,Analog,Yes,4,Leather,Automatic,2945 mm,235/35 R19,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal With Remote,530 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.15 meter,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2590 kg,Drive side airbag Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Curtain airbags,Yes,Yes,Yes,Yes,8,10.5,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,,Yes,,Yes,Yes,,Yes,Yes,,,,,
Audi,R8,V10 Plus,"2,72,45,000",5204 cc,10,4,AWD (All Wheel Drive),V,BS IV,Mid Longitudinal,Injection,75 litres,Petrol,1252 mm,4440 mm,2029 mm,Coupe,2,7.8 km/litre,7.8 km/litre,6.71 km/litre,,1670 kg,7,110 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Double wishbone suspension,1638 mm,1595 mm,245/35R19,295/35R19,Electric Power,Only Front Windows,,Remote,610PS@8250rpm,560Nm@6500rpm,Digital,Analog,Digital,Yes,2,Leather,Automatic,2650 mm,245/35 R19,Yes,1,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,,Yes,Yes,Yes,Digital,Front,,,,,Yes,With Remote,Digital,Manual,Analog,Yes,5.9 meter,Yes,,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,,,1895 kg,Driver curtain airbag Driver frontal airbag Front passenger frontal airbag Driver head airbag Front passenger side airbag Front passenger head airbag Drive side airbag Front passenger curtain airbag,Yes,Yes,Yes,Yes,8,,Rake Reach,,,Rear sensors,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes,,Yes,,Yes,,,,Only front,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,
Lamborghini,Urus,V8,"3,00,00,000",3996 cc,8,8,AWD (All Wheel Drive),V,BS IV,,Injection,75 litres,Petrol,1638 mm,5112 mm,2181 mm,SUV,5,,,7.8 km/litre,,2200 kg,,,Ventilated Disc,Ventilated Disc,adaptive air suspension,adaptive air suspension,,,285/45 ZR21,315/40 ZR21,Yes,All Windows,Yes with memory,Yes,650PS@6000rpm,850Nm@2250-4500rpm,Yes,Digital,Yes,Yes,5,Leather,Automatic,3003 mm,,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,616 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Yes,Yes,,Yes,With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Rear passenger side airbags Driver head airbag Front passenger head airbag Drive side airbag Rear passenger head airbags Front passenger side airbag,Yes,Yes,Yes,Yes,8,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,,Yes,Yes,Yes,Audio Controls,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Bentley,Continental Gt,Coupe,"3,37,91,059",5998 cc,12,4,AWD (All Wheel Drive),W,BS IV,Front Longitudinal,Injection,90 litres,Petrol,1401 mm,4807 mm,2226 mm,Coupe,2,5.3 km/litre,8.6 km/litre,8.6 km/litre,,2320 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1623 mm,1607 mm,275/40R20,275/40R20,Electric Power,All Windows,Yes,Smart Key,590PS@6000rpm,720Nm@1800rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,2746 mm,275/40R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,358 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.6 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,2750 kg,Rear passenger side airbags Curtain airbags Driver frontal airbag Front passenger frontal airbag Front passenger side airbag,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Ferrari,Portofino,V8 Convertible,"3,50,00,000",3855 cc,8,4,AWD (All Wheel Drive),V,BS IV,Front Longitudinal,Injection,92 litres,Petrol,1320 mm,4569 mm,1910 mm,Convertible,2,6 km/litre,9 km/litre,9 km/litre,,1730 kg,7,119 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Multilink,1630 mm,1605 mm,245/40ZR19,285/40ZR19,Electric Power,All Windows,Yes,Smart Key,560PS@7500rpm,755NM@4750rpm,Digital,Analog,Analog,Yes,2,Leather,Automatic,2669 mm,ZR19,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,240 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,12/24 months/ up to90000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,,,Drive side airbag Driver frontal airbag Front passenger frontal airbag Front passenger side airbag,Yes,Yes,Yes,Yes,4,9.4:1,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,,Yes,Yes,Yes,2.4 PSI,Only front,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Bentley,Bentayga,W12,"4,59,41,557",5950 cc,12,4,AWD (All Wheel Drive),W,BS IV,Front Longitudinal,PGM - Fi,85 litres,Petrol,1742 mm,5141 mm,1998 mm,SUV,5,96 km/litre,13.1 km/litre,19 km/litre,,2422 kg,8,,Ventilated Disc,Ventilated Disc,Air Suspension with Continuous Damping Control and 4 height settings,Air suspension with continuous damping control and 4 height setting,,,285/45R21,285/45R21,Electro-Hydraulic,All Windows,Power seats,Smart Key,608PS@6000RPM,900Nm@1350rpm,Digital,Digital,Analog,2,5,Leather,Automatic,2992 mm,R21,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual With Remote,430 litres,Yes,Yes,Yes,Digital,Front & Rear Centre,Yes,Front & Rear,Yes,,Yes,Internal With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3250 kg,Rear passenger side airbags Driver head airbag Drive side airbag Driver frontal airbag Front passenger frontal airbag Front passenger side airbag,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel With gear shift paddles,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Bentley,Bentayga,V8,"3,75,42,069",3996 cc,12,4,AWD (All Wheel Drive),W,BS IV,Front Longitudinal,PGM - Fi,85 litres,Petrol,1742 mm,5140 mm,1998 mm,SUV,5,,,8.77 km/litre,,2428 kg,8,,Ventilated Disc,Ventilated Disc,Air Suspension with Continuous Damping Control and 4 height settings,Air suspension with continuous damping control and 4 height setting,,,285/45R21,285/45R21,Electro-Hydraulic,All Windows,Power seats,Smart Key,550PS@6000RPM,770Nm@1350rpm,Digital,Digital,Analog,2,5,Leather,Automatic,2995 mm,R21,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Manual With Remote,430 litres,Yes,Yes,Yes,Digital,Front & Rear Centre,Yes,Front & Rear,Yes,,Yes,Internal With Remote,Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3250 kg,Driver head airbag Drive side airbag Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel With gear shift paddles,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Audio Controls Cup Holders,Yes,Yes,Yes,,All,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Aston Martin,Db 11,V12,"4,04,56,503",5198 cc,12,4,AWD (All Wheel Drive),V,,Rear Transverse,Injection,80 litres,Petrol,1250 mm,4385 mm,1865 mm,Coupe,2,6 km/litre,,,,1680 kg,,130 mm,Ventilated Disc,Ventilated Disc,Independent Double Wish Bone - Coil Spring Suspension,rear multi linkCoil spring anti roll bar and adaptive dampers,1570 mm,1575 mm,255/40 ZR 20,295/35 ZR 20,Hydraulic Power,All Windows,Yes with memory,Smart Key,608PS@6500rpm,700Nm@1500rpm,Digital,Digital,Analog,Yes,2,Leather,Automatic,2600 mm,ZR 20,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,300 litres,Yes,Yes,Yes,Digital,Centre Front & Rear,Yes,Front,Yes,,Yes,With Remote Push to Open,Digital,Automatic,Digital,Yes,11.8 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,,Curtain airbags Driver frontal airbag Front passenger frontal airbag Drive side airbag Front passenger curtain airbag Driver curtain airbag,Yes,Yes,Yes,Yes,8,9.3:1,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Ferrari,458 Speciale,Coupe,"4,25,31,500",4497 cc,8,4,AWD (All Wheel Drive),V,BS IV,Front Longitudinal,Injection,86 litres,Petrol,1203 mm,4571 mm,1951 mm,Coupe,2,6 km/litre,9 km/litre,9 km/litre,,1395 kg,7,113 mm,Ventilated Disc,Ventilated Disc,Twin wishbones,multi-link set-up,1679 mm,1632 mm,245/35ZR20,305/30ZR20,Electric Power,All Windows,Yes,Smart Key,605PS@9000rpm,540Nm@6000rpm,Digital,Analog,Analog,Yes,2,Leather,Automatic,2650 mm,R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,230 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,12/24 months/ up to90000 Kms (years/distance whichever comes first),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,,,Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags,Yes,Yes,Yes,Yes,5,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,,Yes,,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
,Rolls-Royce Ghost Series Ii,6.6,"4,67,09,733",6593 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,82.5 litres,Petrol,1550 mm,5399 mm,1948 mm,Sedan,4,10.5 km/litre,14.2 km/litre,17.3 km/litre,,2490 kg,8,150 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1622 mm,1660 mm,255/50R19,255/50R19,Electric Power,All Windows,Yes,Smart Key,563PS@5250rpm,780Nm@1700rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,3295 mm,255/50R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,490 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2940 kg,Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Curtain airbags,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
,Rolls-Royce Ghost Series Ii,Ewb,"5,32,47,201",6592 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,82.5 litres,Petrol,1550 mm,5569 mm,1948 mm,Sedan,4,,,7.29 km/litre,,2490 kg,8,150 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1622 mm,1660 mm,255 / 45 R20,285 / 45 R20,Electric Power,All Windows,Yes,Smart Key,570 bhp @ 5250 rpm,780 Nm @ 1500-5000 rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,3295 mm,R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,490 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2940 kg,Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Curtain airbags Driver frontal airbag,Yes,Yes,Yes,Yes,6,10:01,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
,Rolls-Royce Wraith,Coupe,"5,00,25,840",6592 cc,12,4,AWD (All Wheel Drive),V,BS IV,Front Transverse,Injection,83 litres,Petrol,1507 mm,5269 mm,1947 mm,Coupe,2,4.7 km/litre,10.2 km/litre,10.2 km/litre,,2360 kg,8,,Ventilated Disc,Ventilated Disc,Double wishbone,Multi-Link,1622 mm,1668 mm,255 / 45 R20,285/40 R20,Electric Power,Only Front Windows,Power seats,Smart Key,625PS@5600rpm,800Nm@1500-5500rpm,Digital,,Yes,Yes,4,Leather,Automatic,3112 mm,R20,Yes,,,Yes,Yes,,Yes,Internal,470 litres,Yes,Yes,Yes,Analog,,,,,,Yes,Internal,Digital,Automatic,Digital,Yes,6.35 meter,Yes,Driver & Front Passenger,,Fully automatic climate control 2 Zone Climate Control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,Yes,2810 kg,,Yes,Yes,Yes,,,10:01,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Yes,Multifunction Steering Wheel,Yes,,Electric Adjustment with Memory,Yes,,Yes,Yes,Yes,,,,Only front,,,,,,Yes,,Yes,Yes,,,,,
Bentley,Mulsanne,Sedan,"5,25,71,294",6752 cc,8,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,90 litres,Petrol,1521 mm,5575 mm,2208 mm,Sedan,4,6.2 km/litre,9.5 km/litre,9.5 km/litre,,2685 kg,8,142 mm,Ventilated Disc,Ventilated Disc,Air springs with continous damping control,Air springs with continous damping control,1615 mm,1625 mm,265/45R20,265/45R20,Electric Power,All Windows,Yes,Smart Key,512PS@4200rpm,1020Nm@1750rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,3266 mm,265/45R20,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,Internal,443 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,1 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,,Automatic,Analog + Digital,Yes,5.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,,3200 kg,Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Curtain airbags,Yes,Yes,Yes,Yes,6,07:08,Rake Reach,,,Front and rear sensors with camera,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,Only front,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
,Rolls-Royce Cullinan,Suv,"6,95,00,000",6750 cc,12,4,AWD (All Wheel Drive),V,BS 6,Front Transverse,Injection,,Petrol,1835 mm,5341 mm,2000 mm,SUV,5,,,22.4-21.9 km/litre,,2753 kg,8,,Ventilated Disc,Ventilated Disc,Double wishbone front axle,5 Link Rear Suspension with Coil Spring,,,,,,,,,563@5000rpm,850 Nm@1600rpm,,,,,5,,Automatic,3295 mm,,,,,,,,,,,,,,,,,,,,,,,Automatic,,,,,,,,Yes,,,,,,,,,,,,,,,,,2660 kg,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,
,Rolls-Royce Phantom Coupe,6.8 L,"7,73,12,661",6749 cc,12,4,RWD (Rear Wheel Drive),V,BS IV,Front Longitudinal,Injection,100 litres,Petrol,1598 mm,5612 mm,1987 mm,Coupe,2,10.2 km/litre,14.8 km/litre,22.8 km/litre,,2629 kg,8,164 mm,Ventilated Disc,Ventilated Disc,Independent Double Wishbone with Air Springs,Independent Multi-Link with Air Springs,1686 mm,1676 mm,255/50R21,285/45R21,Electric Power,All Windows,Yes,Smart Key,460PS@5350rpm,720Nm@3500rpm,Digital,Analog,Analog,Yes,4,Leather,Automatic,3320 mm,R21,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,4 years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,395 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,6.9 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,3050 kg,Driver frontal airbag Front passenger frontal airbag Front passenger side airbag Rear passenger side airbags Curtain airbags,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,,,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,,All,,,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
Bugatti,Chiron,W16,"19,21,42,937",7993 cc,16,4,RWD (Rear Wheel Drive),W,BS 6,Mid Transverse,PGM - Fi,,Petrol,1212 mm,4544 mm,2038 mm,Sports,2,,,5.95 km/litre,,1995 kg,7,,Ventilated Disc,Ventilated Disc,,,,,,,Electric Power,All Windows,Yes with memory,Remote Smart Key,1479bhp@6700rpm,1600Nm@2000-6000rpm,Digital,Digital,Digital,Yes,2,Leather,Automatic,2710 mm,,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote Internal,,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,,Yes,With Remote Push to Open Internal,Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,,Yes,Yes,Normal,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,All Rows,,Driver frontal airbag Front passenger frontal airbag Driver knee airbag Front passenger knee airbag Curtain airbags,Yes,Yes,Yes,Yes,6,,Rake Reach,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,Yes,Touch Sensitive,With gear shift paddles Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,,Yes,Cup Holders,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,1,Yes,Yes,,
